cell_id,crash_count,gi_zscore,gi_pvalue,hotspot_category,lat,lon
0,0,-0.5545490045878921,0.001,Not Significant,52.38690460651223,-2.0284818457344853
1,0,-0.5251525233738155,0.073,Not Significant,52.39139965437869,-2.028484765850294
2,0,-0.45656073387430346,0.23,Not Significant,52.395894698803936,-2.0284876867354975
3,1,-0.3977677714461502,0.262,Not Significant,52.40038973978805,-2.0284906083903667
4,0,-0.4663595609456623,0.202,Not Significant,52.40488477733118,-2.0284935308151715
5,0,-0.5349513504451745,0.046,Not Significant,52.40937981143353,-2.0284964540101833
6,0,-0.5545490045878921,0.001,Not Significant,52.41387484209519,-2.028499377975672
7,0,-0.5545490045878921,0.001,Not Significant,52.41836986931636,-2.0285023027119102
8,0,-0.5545490045878921,0.001,Not Significant,52.42286489309715,-2.0285052282191645
9,0,-0.5545490045878921,0.001,Not Significant,52.42735991343773,-2.0285081544977097
10,0,-0.5545490045878921,0.001,Not Significant,52.43185493033824,-2.0285110815478156
11,0,-0.5545490045878921,0.001,Not Significant,52.43634994379885,-2.0285140093697542
12,0,-0.5545490045878921,0.001,Not Significant,52.44084495381969,-2.028516937963796
13,0,-0.5545490045878921,0.001,Not Significant,52.445339960400915,-2.0285198673302136
14,0,-0.5545490045878921,0.001,Not Significant,52.44983496354266,-2.0285227974692766
15,0,-0.5545490045878921,0.001,Not Significant,52.454329963245115,-2.028525728381258
16,0,-0.5545490045878921,0.001,Not Significant,52.458824959508384,-2.0285286600664305
17,0,-0.5545490045878921,0.001,Not Significant,52.46331995233263,-2.0285315925250664
18,0,-0.5545490045878921,0.001,Not Significant,52.46781494171804,-2.028534525757436
19,0,-0.5545490045878921,0.001,Not Significant,52.47230992766471,-2.0285374597638133
20,0,-0.5545490045878921,0.001,Not Significant,52.476804910172845,-2.0285403945444695
21,0,-0.5545490045878921,0.001,Not Significant,52.48129988924256,-2.0285433300996782
22,0,-0.5545490045878921,0.001,Not Significant,52.48579486487399,-2.0285462664297107
23,0,-0.5545490045878921,0.001,Not Significant,52.49028983706733,-2.0285492035348414
24,0,-0.5545490045878921,0.001,Not Significant,52.49478480582271,-2.028552141415343
25,0,-0.5545490045878921,0.001,Not Significant,52.499279771140266,-2.028555080071488
26,0,-0.5545490045878921,0.001,Not Significant,52.503774733020165,-2.0285580195035493
27,0,-0.5545490045878921,0.001,Not Significant,52.50826969146256,-2.0285609597118017
28,0,-0.5545490045878921,0.001,Not Significant,52.5127646464676,-2.028563900696517
29,0,-0.5545490045878921,0.001,Not Significant,52.517259598035466,-2.0285668424579706
30,0,-0.5545490045878921,0.001,Not Significant,52.52175454616623,-2.0285697849964346
31,0,-0.5545490045878921,0.001,Not Significant,52.52624949086012,-2.0285727283121844
32,0,-0.5545490045878921,0.001,Not Significant,52.53074443211726,-2.028575672405493
33,0,-0.5545490045878921,0.001,Not Significant,52.53523936993779,-2.0285786172766347
34,0,-0.5545490045878921,0.001,Not Significant,52.53973430432186,-2.028581562925885
35,0,-0.5545490045878921,0.001,Not Significant,52.544229235269654,-2.028584509353515
36,0,-0.5545490045878921,0.001,Not Significant,52.54872416278131,-2.028587456559803
37,0,-0.5545490045878921,0.001,Not Significant,52.55321908685697,-2.0285904045450223
38,0,-0.5545490045878921,0.001,Not Significant,52.557714007496806,-2.0285933533094473
39,0,-0.5545490045878921,0.001,Not Significant,52.562208924700926,-2.0285963028533525
40,0,-0.5545490045878921,0.001,Not Significant,52.566703838469536,-2.0285992531770147
41,0,-0.5545490045878921,0.001,Not Significant,52.57119874880275,-2.0286022042807086
42,0,-0.5545490045878921,0.001,Not Significant,52.57569365570072,-2.0286051561647076
43,0,-0.5545490045878921,0.001,Not Significant,52.58018855916365,-2.02860810882929
44,0,-0.5545490045878921,0.001,Not Significant,52.58468345919161,-2.0286110622747295
45,0,-0.5545490045878921,0.001,Not Significant,52.58917835578484,-2.0286140165013027
46,0,-0.5545490045878921,0.001,Not Significant,52.59367324894344,-2.0286169715092863
47,0,-0.5545490045878921,0.001,Not Significant,52.59816813866756,-2.028619927298953
48,0,-0.5545490045878922,0.001,Not Significant,52.60266302495736,-2.028622883870583
49,0,-0.5251525233738155,0.073,Not Significant,52.386906164693634,-2.021135293487158
50,0,-0.4810578015527006,0.073,Not Significant,52.39140121281111,-2.0211374673147815
51,3,-0.30345406088432114,0.146,Not Significant,52.39589625748737,-2.0211396417150396
52,6,-0.15034738789433874,0.163,Not Significant,52.400391298722575,-2.0211418166881345
53,2,-0.37694526391951266,0.086,Not Significant,52.40488633651686,-2.0211439922342676
54,0,-0.5116791361506972,0.032,Not Significant,52.409381370870406,-2.021146168353638
55,0,-0.5545490045878921,0.001,Not Significant,52.41387640178331,-2.02114834504645
56,0,-0.5545490045878921,0.001,Not Significant,52.41837142925578,-2.021150522312903
57,0,-0.5545490045878921,0.001,Not Significant,52.42286645328791,-2.0211527001531997
58,0,-0.5545490045878921,0.001,Not Significant,52.427361473879884,-2.021154878567542
59,0,-0.5423004707486936,0.007,Not Significant,52.43185649103185,-2.021157057556131
60,0,-0.530051936909495,0.02,Not Significant,52.43635150474395,-2.0211592371191696
61,0,-0.44431220003510485,0.163,Not Significant,52.44084651501633,-2.0211614172568577
62,0,-0.45656073387430346,0.127,Not Significant,52.445341521849166,-2.021163597969399
63,0,-0.46880926771350206,0.099,Not Significant,52.44983652524256,-2.021165779256996
64,0,-0.5545490045878921,0.001,Not Significant,52.45433152519671,-2.0211679611198496
65,0,-0.5484247376682929,0.004,Not Significant,52.45882652171173,-2.0211701435581633
66,0,-0.5484247376682929,0.004,Not Significant,52.46332151478781,-2.021172326572141
67,0,-0.5484247376682929,0.004,Not Significant,52.467816504425066,-2.021174510161981
68,0,-0.5545490045878921,0.001,Not Significant,52.472311490623646,-2.0211766943278904
69,0,-0.5545490045878921,0.001,Not Significant,52.47680647338373,-2.021178879070068
70,0,-0.5545490045878921,0.001,Not Significant,52.481301452705445,-2.0211810643887214
71,0,-0.5545490045878921,0.001,Not Significant,52.485796428588955,-2.0211832502840488
72,0,-0.5545490045878921,0.001,Not Significant,52.49029140103438,-2.021185436756256
73,0,-0.5545490045878921,0.001,Not Significant,52.49478637004193,-2.0211876238055466
74,0,-0.5545490045878921,0.001,Not Significant,52.49928133561171,-2.0211898114321225
